Year,Month,Day,Name
2015,1,1,Capodanno
2015,1,6,Epifania del Signore
2015,4,5,Pasqua di Resurrezione
2015,4,6,Lunedì dell'Angelo
2015,4,25,Festa della Liberazione
2015,5,1,Festa dei Lavoratori
2015,6,2,Festa della Repubblica
2015,8,15,Assunzione della Vergine
2015,11,1,Tutti i Santi
2015,12,7,Sant'Ambrogio Patrono di Milano
2015,12,8,Immacolata Concezione
2015,12,25,Natale
2015,12,26,Santo Stefano
2016,1,1,Capodanno
2016,1,6,Epifania del Signore
2016,3,27,Pasqua di Resurrezione
2016,3,28,Lunedì dell'Angelo
2016,4,25,Festa della Liberazione
2016,5,1,Festa dei Lavoratori
2016,6,2,Festa della Repubblica
2016,8,15,Assunzione della Vergine
2016,11,1,Tutti i Santi
2016,12,7,Sant'Ambrogio Patrono di Milano
2016,12,8,Immacolata Concezione
2016,12,25,Natale
2016,12,26,Santo Stefano
2017,1,1,Capodanno
2017,1,6,Epifania del Signore
2017,4,16,Pasqua di Resurrezione
2017,4,17,Lunedì dell'Angelo
2017,4,25,Festa della Liberazione
2017,5,1,Festa dei Lavoratori
2017,6,2,Festa della Repubblica
2017,8,15,Assunzione della Vergine
2017,11,1,Tutti i Santi
2017,12,7,Sant'Ambrogio Patrono di Milano
2017,12,8,Immacolata Concezione
2017,12,25,Natale
2017,12,26,Santo Stefano
2018,1,1,Capodanno
2018,1,6,Epifania del Signore
2018,4,1,Pasqua di Resurrezione
2018,4,2,Lunedì dell'Angelo
2018,4,25,Festa della Liberazione
2018,5,1,Festa dei Lavoratori
2018,6,2,Festa della Repubblica
2018,8,15,Assunzione della Vergine
2018,11,1,Tutti i Santi
2018,12,7,Sant'Ambrogio Patrono di Milano
2018,12,8,Immacolata Concezione
2018,12,25,Natale
2018,12,26,Santo Stefano
2019,1,1,Capodanno
2019,1,6,Epifania del Signore
2019,4,21,Pasqua di Resurrezione
2019,4,22,Lunedì dell'Angelo
2019,4,25,Festa della Liberazione
2019,5,1,Festa dei Lavoratori
2019,6,2,Festa della Repubblica
2019,8,15,Assunzione della Vergine
2019,11,1,Tutti i Santi
2019,12,7,Sant'Ambrogio Patrono di Milano
2019,12,8,Immacolata Concezione
2019,12,25,Natale
2019,12,26,Santo Stefano
2020,1,1,Capodanno
2020,1,6,Epifania del Signore
2020,4,12,Pasqua di Resurrezione
2020,4,13,Lunedì dell'Angelo
2020,4,25,Festa della Liberazione
2020,5,1,Festa dei Lavoratori
2020,6,2,Festa della Repubblica
2020,8,15,Assunzione della Vergine
2020,11,1,Tutti i Santi
2020,12,7,Sant'Ambrogio Patrono di Milano
2020,12,8,Immacolata Concezione
2020,12,25,Natale
2020,12,26,Santo Stefano
2021,1,1,Capodanno
2021,1,6,Epifania del Signore
2021,4,4,Pasqua di Resurrezione
2021,4,5,Lunedì dell'Angelo
2021,4,25,Festa della Liberazione
2021,5,1,Festa dei Lavoratori
2021,6,2,Festa della Repubblica
2021,8,15,Assunzione della Vergine
2021,11,1,Tutti i Santi
2021,12,7,Sant'Ambrogio Patrono di Milano
2021,12,8,Immacolata Concezione
2021,12,25,Natale
2021,12,26,Santo Stefano
2022,1,1,Capodanno
2022,1,6,Epifania del Signore
2022,4,17,Pasqua di Resurrezione
2022,4,18,Lunedì dell'Angelo
2022,4,25,Festa della Liberazione
2022,5,1,Festa dei Lavoratori
2022,6,2,Festa della Repubblica
2022,8,15,Assunzione della Vergine
2022,11,1,Tutti i Santi
2022,12,7,Sant'Ambrogio Patrono di Milano
2022,12,8,Immacolata Concezione
2022,12,25,Natale
2022,12,26,Santo Stefano
2023,1,1,Capodanno
2023,1,6,Epifania del Signore
2023,4,9,Pasqua di Resurrezione
2023,4,10,Lunedì dell'Angelo
2023,4,25,Festa della Liberazione
2023,5,1,Festa dei Lavoratori
2023,6,2,Festa della Repubblica
2023,8,15,Assunzione della Vergine
2023,11,1,Tutti i Santi
2023,12,7,Sant'Ambrogio Patrono di Milano
2023,12,8,Immacolata Concezione
2023,12,25,Natale
2023,12,26,Santo Stefano
2024,1,1,Capodanno
2024,1,6,Epifania del Signore
2024,3,31,Pasqua di Resurrezione
2024,4,1,Lunedì dell'Angelo
2024,4,25,Festa della Liberazione
2024,5,1,Festa dei Lavoratori
2024,6,2,Festa della Repubblica
2024,8,15,Assunzione della Vergine
2024,11,1,Tutti i Santi
2024,12,7,Sant'Ambrogio Patrono di Milano
2024,12,8,Immacolata Concezione
2024,12,25,Natale
2024,12,26,Santo Stefano
2025,1,1,Capodanno
2025,1,6,Epifania del Signore
2025,4,20,Pasqua di Resurrezione
2025,4,21,Lunedì dell'Angelo
2025,4,25,Festa della Liberazione
2025,5,1,Festa dei Lavoratori
2025,6,2,Festa della Repubblica
2025,8,15,Assunzione della Vergine
2025,11,1,Tutti i Santi
2025,12,7,Sant'Ambrogio Patrono di Milano
2025,12,8,Immacolata Concezione
2025,12,25,Natale
2025,12,26,Santo Stefano
